,_id,Family Size,Employed
152,6133a6060fd095857526fb0e,4,4
153,6133a6060fd095857526fb0f,4,2
154,6133a6070fd095857526fb10,2,1
155,6133a6070fd095857526fb11,5,2
156,6133a6070fd095857526fb12,4,2
157,6133a6070fd095857526fb13,2,2
158,6133a6070fd095857526fb14,4,2
159,6133a6070fd095857526fb15,2,1
160,6133a6070fd095857526fb16,4,2
161,6133a6070fd095857526fb17,2,2
162,6133a6070fd095857526fb18,6,3
163,6133a6070fd095857526fb19,2,2
164,6133a6080fd095857526fb1a,2,2
165,6133a6080fd095857526fb1b,2,2
166,6133a6080fd095857526fb1c,1,1
167,6133a6080fd095857526fb1d,2,2
168,6133a6080fd095857526fb1e,2,2
169,6133a6080fd095857526fb1f,2,2
170,6133a6080fd095857526fb20,2,1
171,6133a6080fd095857526fb21,2,1
172,6133a6080fd095857526fb22,4,0
173,6133a6080fd095857526fb23,1,1
174,6133a6080fd095857526fb24,2,2
175,6133a6090fd095857526fb25,2,2
176,6133a6090fd095857526fb26,1,1
177,6133a6090fd095857526fb27,1,1
178,6133a6090fd095857526fb28,2,1
179,6133a6090fd095857526fb29,2,2
180,6133a6090fd095857526fb2a,2,1
181,6133a6090fd095857526fb2b,2,2
182,6133a6090fd095857526fb2c,4,1
183,6133a6090fd095857526fb2d,2,1
184,6133a6090fd095857526fb2e,2,2
185,6133a60a0fd095857526fb2f,2,2
186,6133a60a0fd095857526fb30,1,1
187,6133a60a0fd095857526fb31,2,2
188,6133a60a0fd095857526fb32,4,3
189,6133a60a0fd095857526fb33,4,1
190,6133a60a0fd095857526fb34,3,1
191,6133a60a0fd095857526fb35,3,3
192,6133a60a0fd095857526fb36,3,1
193,6133a60a0fd095857526fb37,4,2
194,6133a60a0fd095857526fb38,4,1
195,6133a60a0fd095857526fb39,4,3
196,6133a60b0fd095857526fb3a,4,2
197,6133a60b0fd095857526fb3b,5,2
198,6133a60b0fd095857526fb3c,4,2
199,6133a60b0fd095857526fb3d,4,1
200,6133a60b0fd095857526fb3e,4,2
201,6133a60b0fd095857526fb3f,5,3
202,6133a60b0fd095857526fb40,4,3
203,6133a60b0fd095857526fb41,3,3
204,6133a60b0fd095857526fb42,3,3
205,6133a60b0fd095857526fb43,4,4
206,6133a60c0fd095857526fb44,2,1
207,6133a60c0fd095857526fb45,2,1
208,6133a60c0fd095857526fb46,3,3
209,6133a60c0fd095857526fb47,2,1
210,6133a60c0fd095857526fb48,5,2
211,6133a60c0fd095857526fb49,3,2
212,6133a60c0fd095857526fb4a,2,2
213,6133a60c0fd095857526fb4b,6,2
214,6133a60c0fd095857526fb4c,3,2
215,6133a60c0fd095857526fb4d,4,2
216,6133a60c0fd095857526fb4e,2,1
217,6133a60d0fd095857526fb4f,5,2
218,6133a60d0fd095857526fb50,4,4
219,6133a60d0fd095857526fb51,1,0
220,6133a60d0fd095857526fb52,5,3
221,6133a60d0fd095857526fb53,7,4
222,6133a60d0fd095857526fb54,4,3
223,6133a60d0fd095857526fb55,3,2
224,6133a60d0fd095857526fb56,3,3
225,6133a60d0fd095857526fb57,4,2
226,6133a60d0fd095857526fb58,2,2
227,6133a60e0fd095857526fb59,5,3
228,6133a60e0fd095857526fb5a,3,3
229,6133a60e0fd095857526fb5b,2,1
230,6133a60e0fd095857526fb5c,3,3
231,6133a60e0fd095857526fb5d,5,2
232,6133a60e0fd095857526fb5e,2,2
233,6133a60e0fd095857526fb5f,4,2
234,6133a60e0fd095857526fb60,4,0
235,6133a60e0fd095857526fb61,3,1
236,6133a60e0fd095857526fb62,5,2
237,6133a60e0fd095857526fb63,4,2
238,6133a60f0fd095857526fb64,2,1
239,6133a60f0fd095857526fb65,5,2
240,6133a60f0fd095857526fb66,4,3
241,6133a60f0fd095857526fb67,4,2
242,6133a60f0fd095857526fb68,5,2
243,6133a60f0fd095857526fb69,6,3
244,6133a60f0fd095857526fb6a,5,2
245,6133a60f0fd095857526fb6b,3,2
246,6133a60f0fd095857526fb6c,3,2
247,6133a60f0fd095857526fb6d,6,1
248,6133a6100fd095857526fb6e,3,1
249,6133a6100fd095857526fb6f,2,2
250,6133a6100fd095857526fb70,2,2
251,6133a6100fd095857526fb71,3,2
252,6133a6100fd095857526fb72,5,5
253,6133a6100fd095857526fb73,6,4
254,6133a6100fd095857526fb74,4,1
255,6133a6100fd095857526fb75,5,1
256,6133a6100fd095857526fb76,3,1
257,6133a6100fd095857526fb77,2,2
258,6133a6100fd095857526fb78,4,0
